"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","delete functionality","Delete User","0","0","1","0","0"
"","User functionality","User Login - Unsuccessful","0","0","1","0","0"
"","TEST USER/S GET - feature","Get Single User","0","0","1","0","0"
"","Delayed Users","Delayed Response - Get Users","0","0","1","0","0"
"","TEST USER/S GET - feature","","0","0","1","0","0"
"","Update User","Update User Put","0","0","1","0","0"
"","Update User and test full update","Update User Put","0","0","1","0","0"
"","API Tests","Get Unknown Resources List","0","0","1","0","0"
"","TEST RESOURCE/S GET - feature","Get Unknown Resources List","0","0","1","0","0"
"","Login functionality","User Login-successfull","0","0","1","0","0"
"","TEST RESOURCE/S GET","Get Single Unknown Resource","0","0","1","0","0"
"","TEST RESOURCE/S GET - feature","Get Single Unknown Resource","0","0","1","0","0"
"","Non existing user","User Not Found","0","0","1","0","0"
"","TEST USER/S GET - feature","User Not Found","0","0","1","0","0"
"","Registration","Register User - Unsuccessful","0","0","1","0","0"
"","Create User-feature","Create User","0","0","1","0","0"
"","Registration","Register User-Successful","0","0","1","0","0"
"","API Tests","Update User","0","0","1","0","0"
"","TEST RESOURCE/S GET","Unknown Resource Not Found","0","0","1","0","0"
"","TEST RESOURCE/S GET - feature","Unknown Resource Not Found","0","0","1","0","0"
