"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 22:01:18 AMT 2024","Mon Jul 08 22:01:19 AMT 2024","376","","test6_delete","TestDeleteUser","","","test_delete_user",""
"passed","Mon Jul 08 22:01:20 AMT 2024","Mon Jul 08 22:01:20 AMT 2024","204","","test8_user_login","TestLogin","","","test_login_unsuccessful",""
"passed","Mon Jul 08 22:01:16 AMT 2024","Mon Jul 08 22:01:16 AMT 2024","315","","TEST USER/S GET with correct structure- suite","TestUserList","","","test_get_single_user",""
"passed","Mon Jul 08 22:01:20 AMT 2024","Mon Jul 08 22:01:23 AMT 2024","3221","","test9_delayed_user","","","","test_delayed_response_get_users",""
"passed","Mon Jul 08 22:01:15 AMT 2024","Mon Jul 08 22:01:16 AMT 2024","566","","TEST USER/S GET with correct structure- suite","TestUserList","","","Test Retrieve All Users","This test case verifies that the system retrieves all users"
"passed","Mon Jul 08 22:01:18 AMT 2024","Mon Jul 08 22:01:18 AMT 2024","283","","test4_update_user_full","TestUpdateUserPut","","","test_update_user",""
"passed","Mon Jul 08 22:01:17 AMT 2024","Mon Jul 08 22:01:17 AMT 2024","298","","TEST RESOURCE/S GET with correct structure- suite","TestResourceList","","","test_get_unknown_resources",""
"passed","Mon Jul 08 22:01:19 AMT 2024","Mon Jul 08 22:01:20 AMT 2024","221","","test8_user_login","TestLogin","","","test_login_successful",""
"passed","Mon Jul 08 22:01:17 AMT 2024","Mon Jul 08 22:01:17 AMT 2024","245","","TEST RESOURCE/S GET with correct structure- suite","TestResourceList","","","test_get_single_unknown_resource",""
"passed","Mon Jul 08 22:01:16 AMT 2024","Mon Jul 08 22:01:17 AMT 2024","392","","TEST USER/S GET with correct structure- suite","TestUserList","","","test_user_not_found",""
"passed","Mon Jul 08 22:01:19 AMT 2024","Mon Jul 08 22:01:19 AMT 2024","204","","test7_user_registration","TestUserRegistration","","","test_register_unsuccessful",""
"passed","Mon Jul 08 22:01:18 AMT 2024","Mon Jul 08 22:01:18 AMT 2024","285","","test3_create_user_put","TestUserCreation","","","test_create_user",""
"passed","Mon Jul 08 22:01:19 AMT 2024","Mon Jul 08 22:01:19 AMT 2024","345","","test7_user_registration","TestUserRegistration","","","test_register_user",""
"passed","Mon Jul 08 22:01:18 AMT 2024","Mon Jul 08 22:01:18 AMT 2024","253","","test5_update_user_partial","TestPartialUpdateUserPatch","","","test_patch_user",""
"passed","Mon Jul 08 22:01:17 AMT 2024","Mon Jul 08 22:01:18 AMT 2024","376","","TEST RESOURCE/S GET with correct structure- suite","TestResourceList","","","test_unknown_resource_not_found",""
